DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             1.1405379
Formation Factor (ratio)                14.7386634
Cementation Factor (ratio)              1.9042206
pore density (1/um3)                    1.7e-06
Tortuosity (ratio)                      1.2443834
Average Coordination Number             4.478728
Average Throat Radius (um)              15.0556575
Average Pore Radius (um)                26.9941965
Average Throat Length (um)              85.5445165
Pore to Throat Aspect ratio             3.4341114
Specific Surface (1/um)                 0.0254289
Pore Sphericity (ratio)                 0.7200877
Grain Sphericity (ratio)                0.8562742
Average Grain Radius (um)               45.2546802
Relative Young Module (ratio)           0.3019229

__________________________________________________
       ### Functions and distributions ###
__________________________________________________

0.53                                    3.5217273
0.54                                    3.5437175
0.55                                    3.7248138
0.56                                    3.8656689
0.57                                    3.7746032
0.58                                    3.9248397
0.59                                    3.8355579
0.6                                     3.7536946
0.61                                    4.1345744
0.62                                    4.0802038
0.63                                    4.1513235
0.64                                    3.9380952
0.65                                    4.3320034
0.66                                    3.9244691
0.67                                    4.376289
0.68                                    3.9649608
0.69                                    4.2926193
0.7                                     4.5018548
0.71                                    4.2726601
0.72                                    4.6804565
0.73                                    4.4985595
0.74                                    4.4402277
0.75                                    4.6273388
0.76                                    4.7884724
0.77                                    5.22006
0.78                                    4.4985851
0.79                                    5.0273656
0.8                                     5.0606507
0.81                                    5.1384037
0.82                                    5.2987611
0.83                                    5.6523915
0.84                                    5.2191112
0.85                                    4.9366303
0.86                                    5.5572543
0.87                                    5.6486719
0.88                                    5.4001784
0.89                                    5.602245
0.9                                     5.5107751
0.91                                    6.1107446
0.92                                    6.4155378
0.93                                    6.6550321
0.94                                    6.6476636
0.95                                    6.6477499
0.96                                    6.399499
0.97                                    7.4942258
0.98                                    7.5170221
0.99                                    8.6993109
1.0                                     16.1357122


# Throat Inscribed Radius Distribution (um)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    1.0055339
0.02                                    1.0093574
0.03                                    1.0099168
0.04                                    1.0251819
0.05                                    1.0415475
0.06                                    1.0600461
0.07                                    1.0954651
0.08                                    1.0825824
0.09                                    1.1095512
0.1                                     1.1172415
0.11                                    1.1354243
0.12                                    1.1507504
0.13                                    1.1739704
0.14                                    1.1760314
0.15                                    1.2144636
0.16                                    1.2209572
0.17                                    1.2301705
0.18                                    1.2676121
0.19                                    1.2602215
0.2                                     1.3203063
0.21                                    1.3373177
0.22                                    1.3973963
0.23                                    1.3965044
0.24                                    1.4372084
0.25                                    1.4464753
0.26                                    1.4961139
0.27                                    1.4962495
0.28                                    1.5099446
0.29                                    1.5103349
0.3                                     1.5240914
0.31                                    1.5560205
0.32                                    1.6901295
0.33                                    1.7068307
0.34                                    1.6454086
0.35                                    1.7170757
0.36                                    1.7521622
0.37                                    1.7295084
0.38                                    1.85905
0.39                                    1.8702538
0.4                                     1.7167652
0.41                                    1.8860303
0.42                                    1.8080636
0.43                                    1.8715602
0.44                                    1.9187915
0.45                                    1.8008886
0.46                                    1.9421841
0.47                                    1.8287134
0.48                                    2.016979
0.49                                    1.8634037
0.5                                     2.0558757
0.51                                    2.0789263
0.52                                    2.1020333
0.53                                    2.1747065
0.54                                    2.1246989
0.55                                    2.0802691
0.56                                    2.1088548
0.57                                    2.2516457
0.58                                    2.250921
0.59                                    2.2297949
0.6                                     2.3472201
0.61                                    2.4246383
0.62                                    2.4387956
0.63                                    2.4350724
0.64                                    2.6999385
0.65                                    2.6133447
0.66                                    2.6363027
0.67                                    2.690371
0.68                                    2.7183363
0.69                                    2.4583206
0.7                                     2.770353
0.71                                    2.8673313
0.72                                    2.7614489
0.73                                    2.7773977
0.74                                    2.8097808
0.75                                    3.0170606
0.76                                    2.6793779
0.77                                    3.0094224
0.78                                    3.1366975
0.79                                    3.5383261
0.8                                     3.1814513
0.81                                    3.326297
0.82                                    3.2140546
0.83                                    3.2359118
0.84                                    3.7042071
0.85                                    3.4853929
0.86                                    3.8164806
0.87                                    3.6683778
0.88                                    3.4098818
0.89                                    3.7828627
0.9                                     3.8745603
0.91                                    4.162175
0.92                                    3.8724835
0.93                                    4.2013749
0.94                                    4.5150361
0.95                                    5.0601209
0.96                                    4.4369647
0.97                                    5.3196449
0.98                                    6.3521076
0.99                                    6.5735142
1.0                                     12.4977267


# Throat Average Distance (um)
--------------------------------------------------
